filename,label
images/benign (137).png,benign
images/malignant (163).png,malignant
images/normal (36).png,benign
images/malignant (49).png,malignant
images/benign (205).png,benign
images/benign (379).png,benign
images/normal (27).png,benign
images/benign (432).png,benign
images/malignant (72).png,malignant
images/benign (207).png,benign
images/benign (39).png,benign
images/benign (23).png,benign
images/malignant (111).png,malignant
images/benign (264).png,benign
images/malignant (144).png,malignant
images/normal (120).png,benign
images/normal (70).png,benign
images/benign (5).png,benign
images/malignant (140).png,malignant
images/malignant (62).png,malignant
images/benign (411).png,benign
images/benign (221).png,benign
images/benign (338).png,benign
images/benign (103).png,benign
images/benign (158).png,benign
images/malignant (167).png,malignant
images/benign (101).png,benign
images/benign (190).png,benign
images/benign (96).png,benign
images/normal (118).png,benign
images/malignant (23).png,malignant
images/malignant (10).png,malignant
images/benign (361).png,benign
images/malignant (5).png,malignant
images/benign (129).png,benign
images/benign (159).png,benign
images/benign (254).png,benign
images/benign (421).png,benign
images/benign (1).png,benign
images/malignant (58).png,malignant
images/benign (420).png,benign
images/benign (201).png,benign
images/malignant (116).png,malignant
images/normal (109).png,benign
images/normal (74).png,benign
images/benign (255).png,benign
images/benign (37).png,benign
images/normal (15).png,benign
images/benign (60).png,benign
images/malignant (193).png,malignant
images/malignant (159).png,malignant
images/benign (7).png,benign
images/benign (257).png,benign
images/malignant (200).png,malignant
images/malignant (22).png,malignant
images/malignant (65).png,malignant
images/benign (293).png,benign
images/normal (78).png,benign
images/benign (121).png,benign
images/benign (408).png,benign
images/malignant (53).png,malignant
images/normal (113).png,benign
images/malignant (113).png,malignant
images/benign (410).png,benign
images/benign (295).png,benign
images/benign (328).png,benign
images/benign (346).png,benign
images/benign (92).png,benign
images/malignant (73).png,malignant
images/benign (418).png,benign
images/benign (315).png,benign
images/benign (188).png,benign
images/malignant (56).png,malignant
images/normal (3).png,benign
images/malignant (59).png,malignant
images/benign (409).png,benign
images/normal (28).png,benign
images/benign (62).png,benign
images/benign (336).png,benign
images/benign (234).png,benign
images/normal (22).png,benign
images/malignant (74).png,malignant
images/benign (326).png,benign
images/benign (335).png,benign
images/malignant (182).png,malignant
images/benign (297).png,benign
images/benign (353).png,benign
images/benign (302).png,benign
images/normal (62).png,benign
images/benign (242).png,benign
images/benign (354).png,benign
images/benign (274).png,benign
images/benign (195).png,benign
images/benign (399).png,benign
images/normal (57).png,benign
images/normal (52).png,benign
images/benign (321).png,benign
images/benign (396).png,benign
images/benign (93).png,benign
images/benign (367).png,benign
images/benign (351).png,benign
images/benign (284).png,benign
images/benign (425).png,benign
images/benign (123).png,benign
images/benign (214).png,benign
images/malignant (29).png,malignant
images/malignant (130).png,malignant
images/benign (11).png,benign
images/benign (69).png,benign
images/benign (36).png,benign
images/malignant (174).png,malignant
images/benign (72).png,benign
images/benign (21).png,benign
images/malignant (85).png,malignant
images/normal (132).png,benign
images/normal (130).png,benign
images/benign (124).png,benign
images/benign (374).png,benign
images/malignant (64).png,malignant
images/malignant (146).png,malignant
images/malignant (166).png,malignant
images/benign (239).png,benign
images/benign (287).png,benign
images/benign (343).png,benign
images/malignant (117).png,malignant
images/benign (286).png,benign
images/benign (117).png,benign
images/benign (76).png,benign
images/benign (179).png,benign
images/malignant (41).png,malignant
images/benign (393).png,benign
images/benign (280).png,benign
images/benign (248).png,benign
images/normal (63).png,benign
images/benign (344).png,benign
images/malignant (13).png,malignant
images/benign (360).png,benign
images/malignant (205).png,malignant
images/benign (427).png,benign
images/benign (181).png,benign
images/normal (46).png,benign
images/normal (117).png,benign
images/benign (81).png,benign
images/benign (390).png,benign
images/benign (86).png,benign
images/benign (114).png,benign
images/benign (318).png,benign
images/benign (139).png,benign
images/malignant (112).png,malignant
images/malignant (77).png,malignant
images/malignant (75).png,malignant
images/benign (48).png,benign
images/benign (33).png,benign
images/benign (75).png,benign
images/malignant (157).png,malignant
images/benign (269).png,benign
images/benign (178).png,benign
images/benign (82).png,benign
images/benign (213).png,benign
images/benign (384).png,benign
images/benign (340).png,benign
images/benign (417).png,benign
images/benign (145).png,benign
images/benign (125).png,benign
images/malignant (124).png,malignant
images/benign (342).png,benign
images/malignant (2).png,malignant
images/normal (47).png,benign
images/malignant (101).png,malignant
images/malignant (86).png,malignant
images/normal (20).png,benign
images/normal (127).png,benign
images/malignant (81).png,malignant
images/benign (378).png,benign
images/malignant (191).png,malignant
images/malignant (93).png,malignant
images/benign (198).png,benign
images/normal (19).png,benign
images/benign (389).png,benign
images/benign (403).png,benign
images/malignant (137).png,malignant
images/benign (35).png,benign
images/normal (89).png,benign
images/benign (285).png,benign
images/malignant (17).png,malignant
images/benign (44).png,benign
images/benign (278).png,benign
images/malignant (141).png,malignant
images/benign (282).png,benign
images/malignant (45).png,malignant
images/malignant (38).png,malignant
images/benign (164).png,benign
images/benign (314).png,benign
images/malignant (108).png,malignant
images/malignant (60).png,malignant
images/malignant (171).png,malignant
images/benign (40).png,benign
images/benign (407).png,benign
images/malignant (173).png,malignant
images/malignant (97).png,malignant
images/benign (38).png,benign
images/benign (157).png,benign
images/normal (8).png,benign
images/normal (124).png,benign
images/benign (88).png,benign
images/malignant (177).png,malignant
images/benign (56).png,benign
images/benign (28).png,benign
images/malignant (202).png,malignant
images/malignant (153).png,malignant
images/benign (209).png,benign
images/malignant (106).png,malignant
images/benign (369).png,benign
images/normal (31).png,benign
images/malignant (102).png,malignant
images/benign (258).png,benign
images/benign (376).png,benign
images/benign (70).png,benign
images/benign (227).png,benign
images/malignant (63).png,malignant
images/benign (156).png,benign
images/normal (58).png,benign
images/normal (73).png,benign
images/benign (416).png,benign
images/malignant (184).png,malignant
images/malignant (142).png,malignant
images/normal (86).png,benign
images/benign (136).png,benign
images/benign (261).png,benign
images/normal (33).png,benign
images/malignant (198).png,malignant
images/benign (370).png,benign
images/benign (132).png,benign
images/benign (106).png,benign
images/malignant (188).png,malignant
images/benign (288).png,benign
images/malignant (36).png,malignant
images/normal (18).png,benign
images/benign (192).png,benign
images/normal (104).png,benign
images/benign (251).png,benign
images/benign (162).png,benign
images/malignant (87).png,malignant
images/normal (23).png,benign
images/malignant (61).png,malignant
images/malignant (127).png,malignant
images/malignant (32).png,malignant
images/normal (99).png,benign
images/benign (271).png,benign
images/malignant (37).png,malignant
images/benign (305).png,benign
images/benign (327).png,benign
images/malignant (172).png,malignant
images/benign (19).png,benign
images/normal (60).png,benign
images/benign (299).png,benign
images/malignant (168).png,malignant
images/normal (50).png,benign
images/normal (98).png,benign
images/normal (61).png,benign
images/benign (330).png,benign
images/benign (2).png,benign
images/benign (26).png,benign
images/benign (30).png,benign
images/benign (236).png,benign
images/benign (412).png,benign
images/benign (17).png,benign
images/benign (90).png,benign
images/malignant (57).png,malignant
images/normal (119).png,benign
images/benign (43).png,benign
images/benign (434).png,benign
images/benign (373).png,benign
images/benign (87).png,benign
images/normal (37).png,benign
images/benign (319).png,benign
images/benign (25).png,benign
images/malignant (15).png,malignant
images/normal (44).png,benign
images/benign (64).png,benign
images/benign (281).png,benign
images/normal (80).png,benign
images/benign (80).png,benign
images/malignant (158).png,malignant
images/benign (94).png,benign
images/benign (341).png,benign
images/benign (383).png,benign
images/malignant (28).png,malignant
images/benign (171).png,benign
images/benign (247).png,benign
images/benign (252).png,benign
images/malignant (52).png,malignant
images/normal (96).png,benign
images/benign (394).png,benign
images/benign (191).png,benign
images/benign (429).png,benign
images/malignant (26).png,malignant
images/benign (333).png,benign
images/malignant (100).png,malignant
images/malignant (107).png,malignant
images/benign (59).png,benign
images/malignant (18).png,malignant
images/benign (317).png,benign
images/malignant (192).png,malignant
images/normal (83).png,benign
images/normal (125).png,benign
images/malignant (119).png,malignant
images/malignant (190).png,malignant
images/benign (14).png,benign
images/malignant (155).png,malignant
images/benign (437).png,benign
images/benign (322).png,benign
images/benign (334).png,benign
images/malignant (133).png,malignant
images/benign (182).png,benign
images/benign (229).png,benign
images/benign (51).png,benign
images/malignant (44).png,malignant
images/benign (177).png,benign
images/benign (167).png,benign
images/benign (386).png,benign
images/benign (402).png,benign
images/normal (92).png,benign
images/normal (24).png,benign
images/malignant (99).png,malignant
images/malignant (131).png,malignant
images/benign (57).png,benign
images/malignant (187).png,malignant
images/benign (426).png,benign
images/malignant (21).png,malignant
images/benign (250).png,benign
images/benign (154).png,benign
images/benign (68).png,benign
images/benign (240).png,benign
images/normal (91).png,benign
images/benign (140).png,benign
images/benign (431).png,benign
images/malignant (104).png,malignant
images/malignant (134).png,malignant
images/benign (366).png,benign
images/normal (5).png,benign
images/benign (186).png,benign
images/benign (161).png,benign
images/malignant (42).png,malignant
images/benign (368).png,benign
images/benign (220).png,benign
images/benign (329).png,benign
images/benign (9).png,benign
images/benign (65).png,benign
images/normal (56).png,benign
images/benign (147).png,benign
images/malignant (3).png,malignant
images/benign (73).png,benign
images/malignant (176).png,malignant
images/benign (183).png,benign
images/benign (331).png,benign
images/benign (151).png,benign
images/benign (83).png,benign
images/normal (6).png,benign
images/benign (253).png,benign
images/normal (53).png,benign
images/benign (428).png,benign
images/benign (131).png,benign
images/malignant (125).png,malignant
images/benign (52).png,benign
images/benign (294).png,benign
images/benign (306).png,benign
images/malignant (196).png,malignant
images/malignant (203).png,malignant
images/benign (385).png,benign
images/malignant (186).png,malignant
images/malignant (96).png,malignant
images/malignant (16).png,malignant
images/benign (34).png,benign
images/benign (91).png,benign
images/malignant (12).png,malignant
images/benign (375).png,benign
images/normal (55).png,benign
images/benign (112).png,benign
images/normal (1).png,benign
images/benign (435).png,benign
images/benign (423).png,benign
images/malignant (109).png,malignant
images/benign (200).png,benign
images/benign (89).png,benign
images/benign (166).png,benign
images/benign (22).png,benign
images/malignant (84).png,malignant
images/benign (55).png,benign
images/benign (85).png,benign
images/normal (110).png,benign
images/normal (42).png,benign
images/normal (59).png,benign
images/malignant (123).png,malignant
images/benign (138).png,benign
images/malignant (207).png,malignant
images/benign (61).png,benign
images/benign (222).png,benign
images/malignant (83).png,malignant
images/benign (187).png,benign
images/benign (243).png,benign
images/benign (111).png,benign
images/normal (54).png,benign
images/benign (98).png,benign
images/malignant (39).png,malignant
images/malignant (208).png,malignant
images/benign (377).png,benign
images/normal (126).png,benign
images/benign (185).png,benign
images/malignant (105).png,malignant
images/benign (224).png,benign
images/benign (150).png,benign
images/malignant (88).png,malignant
images/benign (45).png,benign
images/malignant (50).png,malignant
images/benign (42).png,benign
images/benign (262).png,benign
images/benign (225).png,benign
images/malignant (154).png,malignant
images/normal (114).png,benign
images/benign (122).png,benign
images/benign (54).png,benign
images/benign (405).png,benign
images/benign (406).png,benign
images/benign (270).png,benign
images/benign (349).png,benign
images/normal (106).png,benign
images/benign (41).png,benign
images/benign (267).png,benign
images/benign (320).png,benign
images/malignant (122).png,malignant
images/normal (87).png,benign
images/benign (27).png,benign
images/benign (165).png,benign
images/benign (175).png,benign
images/benign (296).png,benign
images/benign (66).png,benign
images/normal (38).png,benign
images/benign (32).png,benign
images/benign (152).png,benign
images/benign (211).png,benign
images/malignant (180).png,malignant
images/malignant (20).png,malignant
images/benign (436).png,benign
images/normal (65).png,benign
images/benign (298).png,benign
images/benign (249).png,benign
images/benign (169).png,benign
images/benign (189).png,benign
images/normal (129).png,benign
images/malignant (48).png,malignant
images/benign (362).png,benign
images/malignant (80).png,malignant
images/normal (10).png,benign
images/benign (78).png,benign
images/benign (203).png,benign
images/normal (7).png,benign
images/benign (279).png,benign
images/benign (311).png,benign
images/normal (75).png,benign
images/benign (223).png,benign
images/normal (12).png,benign
images/benign (15).png,benign
images/normal (35).png,benign
images/malignant (8).png,malignant
images/benign (325).png,benign
images/normal (94).png,benign
images/malignant (31).png,malignant
images/normal (26).png,benign
images/benign (153).png,benign
images/malignant (210).png,malignant
images/benign (345).png,benign
images/malignant (189).png,malignant
images/normal (67).png,benign
images/benign (244).png,benign
images/benign (163).png,benign
images/benign (31).png,benign
images/benign (79).png,benign
images/normal (108).png,benign
images/benign (232).png,benign
images/benign (276).png,benign
images/benign (414).png,benign
images/malignant (132).png,malignant
images/benign (364).png,benign
images/normal (131).png,benign
images/benign (359).png,benign
images/malignant (197).png,malignant
images/malignant (118).png,malignant
images/malignant (11).png,malignant
images/benign (102).png,benign
images/benign (413).png,benign
images/benign (6).png,benign
images/benign (173).png,benign
images/normal (100).png,benign
images/malignant (78).png,malignant
images/benign (308).png,benign
images/normal (45).png,benign
images/benign (363).png,benign
images/benign (273).png,benign
images/malignant (114).png,malignant
images/malignant (165).png,malignant
images/benign (380).png,benign
images/benign (352).png,benign
images/malignant (51).png,malignant
images/benign (141).png,benign
images/benign (184).png,benign
images/benign (146).png,benign
images/normal (43).png,benign
images/normal (107).png,benign
images/benign (241).png,benign
images/benign (365).png,benign
images/malignant (206).png,malignant
images/benign (4).png,benign
images/benign (174).png,benign
images/malignant (110).png,malignant
images/benign (301).png,benign
images/malignant (24).png,malignant
images/malignant (199).png,malignant
images/benign (155).png,benign
images/normal (82).png,benign
images/malignant (204).png,malignant
images/normal (29).png,benign
images/benign (206).png,benign
images/benign (67).png,benign
images/benign (172).png,benign
images/malignant (181).png,malignant
images/malignant (55).png,malignant
images/benign (97).png,benign
images/benign (50).png,benign
images/benign (99).png,benign
images/benign (18).png,benign
images/benign (16).png,benign
images/normal (84).png,benign
images/malignant (201).png,malignant
images/malignant (67).png,malignant
images/normal (68).png,benign
images/benign (53).png,benign
images/benign (277).png,benign
images/benign (210).png,benign
images/benign (350).png,benign
images/normal (21).png,benign
images/benign (395).png,benign
images/malignant (35).png,malignant
images/normal (40).png,benign
images/malignant (148).png,malignant
images/normal (39).png,benign
images/normal (16).png,benign
images/benign (230).png,benign
images/malignant (209).png,malignant
images/benign (372).png,benign
images/normal (116).png,benign
images/malignant (27).png,malignant
images/malignant (90).png,malignant
images/benign (358).png,benign
images/normal (133).png,benign
images/benign (176).png,benign
images/normal (49).png,benign
images/benign (24).png,benign
images/malignant (14).png,malignant
images/benign (29).png,benign
images/normal (14).png,benign
